Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
250.0485420000041	10.0	30.0	700-800	0.004108810746542863
250.0485420000041	10.0	30.0	800-900	-0.003199252580966899
250.0485420000041	10.0	30.0	900-1100	-1.447795036589992
259.3550034999935	20.0	30.0	500-600	0.0
259.3550034999935	20.0	30.0	600-700	0.0
259.3550034999935	20.0	30.0	700-800	0.3281889955019942
259.3550034999935	20.0	30.0	800-900	1.4262104267670501
259.3550034999935	20.0	30.0	900-1100	3.2571668427357565
267.8910620999959	30.0	30.0	500-600	0.0
267.8910620999959	30.0	30.0	600-700	0.0
267.8910620999959	30.0	30.0	700-800	8.262502656625205
267.8910620999959	30.0	30.0	800-900	20.501871897710732
267.8910620999959	30.0	30.0	900-1100	43.230126753682704
278.38672389999556	40.0	30.0	500-600	0.0
278.38672389999556	40.0	30.0	600-700	0.0
278.38672389999556	40.0	30.0	700-800	5.053789275308975
278.38672389999556	40.0	30.0	800-900	16.77123465902445
278.38672389999556	40.0	30.0	900-1100	28.921163252197097
285.90858620000654	50.0	30.0	500-600	0.0
285.90858620000654	50.0	30.0	600-700	0.0
285.90858620000654	50.0	30.0	700-800	1.667847609909106
285.90858620000654	50.0	30.0	800-900	12.083960560706586
285.90858620000654	50.0	30.0	900-1100	22.8111144153575
294.4100699999981	60.0	30.0	500-600	0.0
294.4100699999981	60.0	30.0	600-700	0.0
294.4100699999981	60.0	30.0	700-800	0.11966138184510129
294.4100699999981	60.0	30.0	800-900	0.6496761759604612
294.4100699999981	60.0	30.0	900-1100	-0.7388032368670092
302.3166976999928	70.0	30.0	500-600	0.0
302.3166976999928	70.0	30.0	600-700	0.0
302.3166976999928	70.0	30.0	700-800	0.021351552066845924
302.3166976999928	70.0	30.0	800-900	0.12980599636705373
302.3166976999928	70.0	30.0	900-1100	2.7913700875171474
310.74837580000167	80.0	30.0	500-600	0.0
310.74837580000167	80.0	30.0	600-700	0.0
310.74837580000167	80.0	30.0	700-800	-0.006169906026997938
310.74837580000167	80.0	30.0	800-900	-0.044293607774294086
310.74837580000167	80.0	30.0	900-1100	-1.8370273936173371
323.30799869999464	0.0	40.0	500-600	0.0
323.30799869999464	0.0	40.0	600-700	0.0
323.30799869999464	0.0	40.0	700-800	-0.004407079627527566
323.30799869999464	0.0	40.0	800-900	-0.0257725708757667
323.30799869999464	0.0	40.0	900-1100	-1.1074210804438716
332.05435900000157	10.0	40.0	500-600	0.0
332.05435900000157	10.0	40.0	600-700	0.0
332.05435900000157	10.0	40.0	700-800	0.03060044134681743
332.05435900000157	10.0	40.0	800-900	0.15998512557518202
332.05435900000157	10.0	40.0	900-1100	3.0065326851676035
339.54121999999916	20.0	40.0	500-600	0.0
339.54121999999916	20.0	40.0	600-700	0.0
339.54121999999916	20.0	40.0	700-800	1.0919549729224578
339.54121999999916	20.0	40.0	800-900	2.690068289907031
339.54121999999916	20.0	40.0	900-1100	4.980084053532734
346.36341730000277	30.0	40.0	500-600	0.0
346.36341730000277	30.0	40.0	600-700	0.0
346.36341730000277	30.0	40.0	700-800	6.907436840803721
