Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
1054.1485012000048	30.0	40.0	600-700	33.65306666666667
1054.1485012000048	30.0	40.0	700-800	18.37873333333333
1080.6714724000049	40.0	40.0	400-500	6.485973333333334
1080.6714724000049	40.0	40.0	500-600	18.682266666666663
1080.6714724000049	40.0	40.0	600-700	26.230000000000004
1080.6714724000049	40.0	40.0	700-800	14.803033333333333
1094.4771580000088	50.0	40.0	400-500	2.8019866666666666
1094.4771580000088	50.0	40.0	500-600	8.214013333333334
1094.4771580000088	50.0	40.0	600-700	10.438293333333334
1094.4771580000088	50.0	40.0	700-800	5.90146
1104.3523218000046	60.0	40.0	400-500	0.337436
1104.3523218000046	60.0	40.0	500-600	0.9219119999999998
1104.3523218000046	60.0	40.0	600-700	1.2046093333333332
1104.3523218000046	60.0	40.0	700-800	0.8481666666666666
1129.3579109999991	70.0	40.0	400-500	0.0015658346666666666
1129.3579109999991	70.0	40.0	500-600	0.0037668266666666668
1129.3579109999991	70.0	40.0	600-700	0.006549706666666666
1129.3579109999991	70.0	40.0	700-800	0.016359733333333334
1158.9871975999995	80.0	40.0	400-500	0.0006211213333333334
1158.9871975999995	80.0	40.0	500-600	0.0017794800000000002
1158.9871975999995	80.0	40.0	600-700	0.00538148
1158.9871975999995	80.0	40.0	700-800	0.008906286666666666
1201.7490983000025	0.0	50.0	400-500	0.0006438973333333333
1201.7490983000025	0.0	50.0	500-600	0.00146956
1201.7490983000025	0.0	50.0	600-700	0.0031651199999999996
1201.7490983000025	0.0	50.0	700-800	0.005540119999999999
1232.0472009000077	10.0	50.0	400-500	0.0018420413333333334
1232.0472009000077	10.0	50.0	500-600	0.004835626666666667
1232.0472009000077	10.0	50.0	600-700	0.008391786666666666
1232.0472009000077	10.0	50.0	700-800	0.012824499999999999
1241.8468113999988	20.0	50.0	400-500	1.3527866666666668
1241.8468113999988	20.0	50.0	500-600	4.1293066666666665
1241.8468113999988	20.0	50.0	600-700	6.119999999999999
1241.8468113999988	20.0	50.0	700-800	3.4361333333333333
1249.593381700004	30.0	50.0	400-500	3.560133333333333
1249.593381700004	30.0	50.0	500-600	10.072346666666666
1249.593381700004	30.0	50.0	600-700	14.462266666666663
1249.593381700004	30.0	50.0	700-800	8.139106666666665
1258.8782154000073	40.0	50.0	400-500	2.2055266666666666
1258.8782154000073	40.0	50.0	500-600	6.274693333333333
1258.8782154000073	40.0	50.0	600-700	9.904079999999999
1258.8782154000073	40.0	50.0	700-800	8.897199999999998
1267.1457388999988	50.0	50.0	400-500	5.937973333333333
1267.1457388999988	50.0	50.0	500-600	17.0872
1267.1457388999988	50.0	50.0	600-700	20.32346666666667
1267.1457388999988	50.0	50.0	700-800	11.906266666666665
1276.2460371000052	60.0	50.0	400-500	2.106193333333333
1276.2460371000052	60.0	50.0	500-600	6.193239999999999
1276.2460371000052	60.0	50.0	600-700	8.043173333333334
1276.2460371000052	60.0	50.0	700-800	5.089103333333333
1300.889879800001	70.0	50.0	400-500	0.0035693599999999997
1300.889879800001	70.0	50.0	500-600	0.009385426666666667
1300.889879800001	70.0	50.0	600-700	0.019816266666666665
1300.889879800001	70.0	50.0	700-800	0.02991253333333333
1326.2929398999986	80.0	50.0	400-500	0.0008105386666666665
1326.2929398999986	80.0	50.0	500-600	0.002111333333333333
1326.2929398999986	80.0	50.0	600-700	0.005793746666666667
1326.2929398999986	80.0	50.0	700-800	0.009283253333333335
1371.4499146000016	0.0	60.0	400-500	0.0005644560000000001
1371.4499146000016	0.0	60.0	500-600	0.0012088239999999998
1371.4499146000016	0.0	60.0	600-700	0.0026146933333333327
1371.4499146000016	0.0	60.0	700-800	0.00471286
1409.0732084000047	10.0	60.0	400-500	0.0010430973333333334
1409.0732084000047	10.0	60.0	500-600	0.002545746666666666
1409.0732084000047	10.0	60.0	600-700	0.004723853333333333
1409.0732084000047	10.0	60.0	700-800	0.007458806666666667
1423.4007254000026	20.0	60.0	400-500	0.09710293333333332
1423.4007254000026	20.0	60.0	500-600	0.311776
1423.4007254000026	20.0	60.0	600-700	0.43824799999999997
1423.4007254000026	20.0	60.0	700-800	0.31495166666666663
1433.8009852000105	30.0	60.0	400-500	4.795826666666666
1433.8009852000105	30.0	60.0	500-600	14.391293333333332
1433.8009852000105	30.0	60.0	600-700	20.162933333333335
1433.8009852000105	30.0	60.0	700-800	11.435166666666666
1445.2101478000113	40.0	60.0	400-500	6.557
1445.2101478000113	40.0	60.0	500-600	19.2292
1445.2101478000113	40.0	60.0	600-700	25.111199999999997
1445.2101478000113	40.0	60.0	700-800	14.856566666666666
1459.6856837000087	50.0	60.0	400-500	5.892106666666666
1459.6856837000087	50.0	60.0	500-600	16.990399999999998
1459.6856837000087	50.0	60.0	600-700	20.897466666666666
1459.6856837000087	50.0	60.0	700-800	12.5368
1472.3031520000077	60.0	60.0	400-500	1.2695773333333333
1472.3031520000077	60.0	60.0	500-600	2.842226666666666
1472.3031520000077	60.0	60.0	600-700	2.7967066666666662
1472.3031520000077	60.0	60.0	700-800	1.83839
1504.0122458000114	70.0	60.0	400-500	0.002447826666666667
